sample_id,time,donor,biorep,Tube.Label
6.19190_S20,-2,D2A,7,19190
7.19191_S1,0,D2A,7,19191
8.19192_S3,1,D2A,7,19192
9.19193_S6,3,D2A,7,19193
10.19194_S9,9,D2A,7,19194
11.19195_S12,-2,D2A,8,19195
12.19196_S15,0,D2A,8,19196
13.19197_S18,1,D2A,8,19197
14.19198_S21,3,D2A,8,19198
15.19199_S2,9,D2A,8,19199
1.19200_S5,-2,D2A,5,19200
2.19201_S8,0,D2A,5,19201
3.19202_S11,1,D2A,5,19202
4.19203_S14,3,D2A,5,19203
5.19204_S17,9,D2A,5,19204
20.S2.KD5NT_S16,-2,D1G,5,see prev. exp.
21.S7.KD6NT_S19,-2,D1G,6,see prev. exp.
22.S12.KD3NT_S22,-2,D1G,8,see prev. exp.
